Oct-98,Oct,1998,4
Nov-98,Nov,1998,23
Dec-98,Dec,1998,49
Jan-99,Jan,1999,58
Feb-99,Feb,1999,34
Mar-99,Mar,1999,40
Apr-99,Apr,1999,20
May-99,May,1999,266
Jun-99,Jun,1999,250
Jul-99,Jul,1999,304
Aug-99,Aug,1999,373
Sep-99,Sep,1999,442
Oct-99,Oct,1999,411
Nov-99,Nov,1999,343
Dec-99,Dec,1999,746
Jan-00,Jan,2000,1284
Feb-00,Feb,2000,1235
Mar-00,Mar,2000,1571
Apr-00,Apr,2000,1726
May-00,May,2000,2119
Jun-00,Jun,2000,2611
Jul-00,Jul,2000,2572
Aug-00,Aug,2000,3351
Sep-00,Sep,2000,3561
Oct-00,Oct,2000,4399
Nov-00,Nov,2000,4431
Dec-00,Dec,2000,4096
Jan-01,Jan,2001,4369
Feb-01,Feb,2001,4311
Mar-01,Mar,2001,4140
Apr-01,Apr,2001,4228
May-01,May,2001,2992
Jun-01,Jun,2001,945
Jul-01,Jul,2001,569
Aug-01,Aug,2001,141
Sep-01,Sep,2001,52
Oct-01,Oct,2001,73
Nov-01,Nov,2001,7
Jun-02,Jun,2002,1
Jul-02,Jul,2002,21
